"freq","word1"
1,"a'f"
1,"a'ight"
9,"a's"
3,"aaa"
1,"aaaaand"
1,"aaaaawww"
1,"aaaaggghhhh"
2,"aaaahhhhhhhhh"
1,"aaaaww"
1,"aaae"
1,"aaahhh"
1,"aaahhhh"
1,"aacu"
1,"aaf"
1,"aah"
1,"aahjskshdjfldjsfj"
1,"aai"
1,"aalto"
2,"aalto's"
3,"aam"
1,"aampro"
3,"aan"
1,"aanbevelingen"
1,"aanloop"
1,"aapc"
1,"aapish"
2,"aapl"
1,"aapor"
2,"aardvark"
1,"aargau"
25,"aaron"
1,"aaron's"
1,"aarons"
3,"aarp"
1,"aarti"
1,"aas"
1,"aasl"
1,"aassssssseemmmmbllllleeeee"
4,"aau"
1,"aauw"
1,"aawwwwww"
3,"aba"
1,"abacha"
4,"aback"
1,"abai"
1,"abalone"
9,"abandon"
19,"abandoned"
2,"abandoning"
3,"abandonment"
3,"abated"
1,"abatement"
1,"abatements"
1,"abattoir"
1,"abba"
4,"abbas"
1,"abbas's"
1,"abbe"
11,"abbey"
2,"abbeyville"
3,"abbie"
1,"abbot"
3,"abbott"
1,"abbottabad"
1,"abbreviated"
1,"abbreviation"
10,"abby"
1,"abby's"
20,"abc"
1,"abc's"
1,"abcs"
2,"abd"
5,"abdc"
1,"abdicated"
4,"abdomen"
1,"abdomens"
2,"abdominal"
1,"abduction"
1,"abductions"
4,"abdul"
2,"abdullah"
1,"abdullahi"
1,"abdulmutallab"
6,"abe"
2,"abel"
1,"abele"
1,"abell"
1,"abenobashi"
1,"abercrombie"
3,"aberdeen"
1,"aberg"
1,"aberlour"
1,"aberrant"
2,"aberration"
1,"abetted"
1,"abetting"
1,"abhi"
1,"abhorrence"
1,"abi"
6,"abide"
1,"abides"
1,"abiding"
16,"abilities"
109,"ability"
1,"abingdon"
1,"abington"
2,"abject"
1,"abkosher"
3,"ablaze"
324,"able"
1,"ableton"
1,"ablin"
4,"ably"
1,"abner"
3,"abnormal"
1,"abnormality"
1,"abnormally"
8,"aboard"
3,"abode"
1,"abolfotoh"
2,"abolished"
1,"abolishes"
2,"abolitionist"
3,"abomination"
2,"aboriginal"
2,"aborigine"
1,"abort"
1,"aborted"
17,"abortion"
5,"abortions"
6,"abound"
3708,"about"
1,"aboutness"
162,"above"
4,"abq"
1,"abra"
1,"abrac"
6,"abraham"
4,"abram"
3,"abramovich"
6,"abrams"
1,"abrasive"
1,"abril"
3,"abrill"
19,"abroad"
1,"abrubt"
1,"abrupt"
6,"abruptly"
4,"abs"
28,"absence"
1,"absences"
12,"absent"
1,"absentee"
1,"absenteeism"
1,"absinthe"
1,"absolut"
28,"absolute"
142,"absolutely"
1,"absolutes"
1,"absolutley"
1,"absolve"
14,"absorb"
12,"absorbed"
1,"absorbency"
2,"absorbing"
3,"absorption"
1,"abstenance"
2,"abstention"
3,"abstinence"
17,"abstract"
2,"abstraction"
1,"abstractionists"
1,"abstracts"
13,"absurd"
1,"absurdest"
1,"absurdity"
3,"absurdly"
21,"abt"
4,"abu"
2,"abuja"
7,"abundance"
4,"abundant"
64,"abuse"
16,"abused"
2,"abuser"
3,"abusers"
8,"abuses"
8,"abusing"
8,"abusive"
1,"abutment"
1,"abutton"
1,"abuzz"
4,"abv"
1,"abyei"
2,"abysmal"
3,"abyss"
1,"aca"
1,"acaba"
1,"acacia"
2,"acad"
2,"academia"
23,"academic"
2,"academically"
7,"academics"
38,"academy"
4,"academy's"
1,"acadia"
1,"acapella"
1,"acar"
7,"acc"
1,"acceded"
2,"accelerate"
4,"accelerated"
1,"acceleration"
1,"accelerator"
16,"accent"
2,"accented"
12,"accents"
3,"accentuate"
77,"accept"
18,"acceptable"
13,"acceptance"
1,"acceptances"
43,"accepted"
24,"accepting"
9,"accepts"
90,"access"
4,"accessed"
4,"accessibility"
17,"accessible"
3,"accessing"
10,"accessories"
1,"accessorize"
1,"accessorized"
1,"accessorizing"
3,"accessory"
51,"accident"
5,"accidental"
19,"accidentally"
2,"accidently"
9,"accidents"
1,"acclaim"
3,"acclaimed"
2,"accolades"
13,"accommodate"
1,"accommodated"
1,"accommodates"
1,"accommodating"
4,"accommodation"
3,"accommodations"
1,"accomodation"
19,"accompanied"
1,"accompanies"
1,"accompaniment"
1,"accompaniments"
8,"accompany"
5,"accompanying"
4,"accomplice"
2,"accomplices"
20,"accomplish"
29,"accomplished"
1,"accomplishes"
2,"accomplishing"
8,"accomplishment"
8,"accomplishments"
7,"accord"
6,"accordance"
2,"accorded"
281,"according"
9,"accordingly"
2,"accordion"
1,"accords"
146,"account"
10,"accountability"
9,"accountable"
1,"accountancy"
6,"accountant"
3,"accountants"
4,"accounted"
25,"accounting"
61,"accounts"
3,"accoutrements"
2,"accreditation"
3,"accredited"
1,"accrediting"
1,"accretive"
1,"accrington"
3,"accrue"
2,"accrued"
1,"accs"
3,"acct"
5,"accumulate"
2,"accumulated"
1,"accumulating"
3,"accumulation"
2,"accuquilt"
10,"accuracy"
19,"accurate"
8,"accurately"
2,"accursed"
6,"accusation"
12,"accusations"
4,"accuse"
48,"accused"
1,"accuser"
1,"accuser's"
4,"accuses"
3,"accusing"
9,"accustomed"
13,"ace"
1,"aceh"
1,"acehnese"
1,"acenda"
3,"acer"
1,"acerbic"
1,"aces"
1,"aceshowbiz"
1,"acess"
1,"acetate"
1,"ach"
1,"acharya"
6,"ache"
1,"ached"
1,"aches"
2,"achievable"
38,"achieve"
13,"achieved"
15,"achievement"
9,"achievements"
1,"achieves"
10,"achieving"
11,"achilles"
4,"aching"
1,"achivement"
2,"achy"
1,"acics"
14,"acid"
3,"acidic"
3,"acidity"
2,"acids"
1,"acim"
1,"ack"
2,"acka"
2,"acker"
1,"ackerley's"
2,"ackerman"
2,"ackermann"
1,"ackman"
7,"acknowledge"
28,"acknowledged"
2,"acknowledgement"
2,"acknowledges"
5,"acknowledging"
3,"acknowledgment"
1,"acknowledgments"
1,"acks"
2,"ackwards"
5,"acl"
1,"aclfest"
1,"acls"
1,"aclu"
1,"aclu's"
2,"acma"
1,"acmazing"
1,"acme"
1,"acms"
5,"acne"
1,"acolytes"
1,"acontextual"
2,"acorn"
3,"acorns"
2,"acosta"
1,"acosta's"
11,"acoustic"
1,"acoustics"
5,"acquaintance"
3,"acquaintances"
3,"acquainted"
1,"acquiesces"
22,"acquire"
24,"acquired"
3,"acquires"
7,"acquiring"
11,"acquisition"
3,"acquisitions"
1,"acquittal"
3,"acquitted"
5,"acre"
1,"acreage"
30,"acres"
1,"acrid"
1,"acrimonious"
1,"acrl"
1,"acrobatics"
2,"acrobats"
1,"acronym"
1,"acropolis"
255,"across"
9,"acrylic"
1,"acrylics"
1,"acsi"
190,"act"
6,"acta"
11,"acted"
3,"actin"
53,"acting"
167,"action"
62,"actions"
3,"activate"
5,"activated"
2,"activating"
1,"activation"
59,"active"
14,"actively"
1,"actives"
1,"activewear"
1,"activia"
1,"activision"
4,"activism"
22,"activist"
1,"activist's"
1,"activistoftheyear"
23,"activists"
2,"activites"
68,"activities"
64,"activity"
1,"actly"
1,"acton"
49,"actor"
2,"actor's"
40,"actors"
29,"actress"
8,"actresses"
37,"acts"
68,"actual"
2,"actuality"
2,"actualization"
1,"actualize"
449,"actually"
1,"acuity"
4,"acumen"
3,"acupuncture"
2,"acura"
2,"acute"
4,"acutely"
1,"acworth"
1,"acy"
2,"ada"
1,"adachi"
1,"adage"
45,"adam"
2,"adam's"
4,"adamant"
1,"adamouski"
36,"adams"
1,"adamsons"
2,"adana"
7,"adapt"
1,"adaptable"
12,"adaptation"
3,"adaptations"
14,"adapted"
2,"adapter"
1,"adapters"
4,"adapting"
1,"adaption"
2,"adaptive"
1,"adara"
1,"adat"
1,"aday"
1,"adays"
1,"adaywithsonja"
1,"adclub"
284,"add"
1,"adda"
1,"addams"
188,"added"
1,"addendum"
3,"adderall"
1,"addict"
25,"addicted"
3,"addicting"
24,"addiction"
3,"addictions"
11,"addictive"
1,"addicts"
90,"adding"
90,"addition"
69,"additional"
6,"additionally"
7,"additions"
1,"additives"
1,"addon"
104,"address"
23,"addressed"
11,"addresses"
10,"addressing"
29,"adds"
1,"adduce"
1,"addy"
7,"ade"
3,"adelaide"
1,"adelante"
8,"adele"
3,"adele's"
1,"adell"
1,"adelman"
1,"adelseck"
1,"adelson"
1,"adelstein's"
1,"aden"
1,"adepero"
2,"adept"
17,"adequate"
4,"adequately"
1,"adera"
1,"ades"
1,"adevntures"
1,"adeyemi"
7,"adhd"
6,"adhere"
4,"adhered"
4,"adherents"
2,"adheres"
1,"adias"
2,"adidas"
1,"adina"
2,"adios"
1,"adirondack"
1,"adj"
10,"adjacent"
1,"adjectice"
3,"adjective"
1,"adjoining"
1,"adjourn"
1,"adjudicating"
1,"adjudicator"
16,"adjust"
2,"adjustable"
1,"adjustables"
12,"adjusted"
1,"adjusters"
11,"adjusting"
7,"adjustment"
9,"adjustments"
1,"adjusts"
4,"adkins"
3,"adler"
1,"adm"
6,"admin"
3,"administer"
5,"administered"
3,"administering"
3,"administers"
79,"administration"
10,"administration's"
2,"administrations"
21,"administrative"
1,"administratively"
14,"administrator"
14,"administrators"
2,"admins"
3,"admirable"
4,"admiral"
5,"admiration"
24,"admire"
7,"admired"
1,"admirers"
2,"admires"
4,"admiring"
3,"admissible"
27,"admission"
7,"admissions"
80,"admit"
13,"admits"
1,"admittance"
32,"admitted"
9,"admittedly"
8,"admitting"
1,"admonisher"
1,"admonishing"
1,"admonition"
1,"adnams"
1,"adnexal"
7,"ado"
1,"ado's"
6,"adobe"
1,"adobe's"
1,"adobo"
3,"adolescence"
5,"adolescent"
2,"adolescents"
1,"adolf"
1,"adolfo"
1,"adope"
18,"adopt"
32,"adopted"
1,"adoptee"
1,"adopters"
6,"adopting"
13,"adoption"
1,"adoptions"
3,"adoptive"
2,"adopts"
1,"adora"
30,"adorable"
1,"adorama's"
2,"adoration"
9,"adore"
2,"adored"
1,"adores"
1,"adorian"
1,"adorkable"
1,"adorn"
6,"adorned"
2,"adorno"
1,"adoubt"
1,"adp"
1,"adr"
1,"adr's"
1,"adreian"
1,"adrenal"
9,"adrenaline"
9,"adrian"
2,"adriana"
2,"adrianna"
1,"adrianna's"
1,"adrienne"
1,"adrine"
1,"adroitness"
48,"ads"
1,"adt"
1,"adtr"
2,"adu"
2,"adubato"
1,"adubato's"
1,"adulation"
49,"adult"
1,"adulterated"
1,"adulterers"
7,"adulthood"
70,"adults"
1,"aduriz's"
1,"adv"
46,"advance"
28,"advanced"
2,"advancement"
1,"advancements"
1,"advancenow"
15,"advances"
5,"advancing"
65,"advantage"
2,"advantageous"
1,"advantageously"
14,"advantages"
4,"advent"
3,"adventist"
47,"adventure"
2,"adventurer"
2,"adventurers"
15,"adventures"
1,"adventuring"
6,"adventurous"
2,"adversaries"
4,"adversary"
1,"adverse"
2,"adversely"
1,"adversities"
6,"adversity"
2,"advert"
3,"advertise"
9,"advertised"
5,"advertisement"
6,"advertisements"
4,"advertiser"
11,"advertisers"
1,"advertises"
41,"advertising"
1,"advertorial"
2,"adverts"
1,"advicce"
73,"advice"
1,"advices"
2,"advil"
7,"advise"
7,"advised"
8,"adviser"
5,"advisers"
3,"advises"
1,"advising"
1,"adviso"
9,"advisor"
1,"advisories"
4,"advisors"
16,"advisory"
10,"advocacy"
20,"advocate"
4,"advocated"
