"freq","word1","word2","word3"
"2","a","a","unk"
"2","a","advantage","in"
"2","a","all","time"
"2","a","and","get"
"2","a","b","minus"
"2","a","b","unk"
"5","a","baby","boy"
"2","a","baby","brother"
"3","a","bachelor's","degree"
"2","a","bachelor","party"
"2","a","back","seat"
"3","a","back","to"
"3","a","bacterial","infection"
"5","a","bad","day"
"8","a","bad","idea"
"4","a","bad","mood"
"5","a","bad","thing"
"10","a","bag","of"
"3","a","balance","of"
"2","a","balance","with"
"3","a","ball","of"
"2","a","ball","out"
"2","a","ball","to"
"2","a","band","and"
"2","a","band","he"
"2","a","band","of"
"2","a","band","that"
"2","a","bar","and"
"2","a","bar","i"
"2","a","barrel","in"
"3","a","basket","of"
"2","a","bathroom","and"
"2","a","bb","gun"
"16","a","beautiful","day"
"2","a","beautiful","gift"
"4","a","beautiful","morning"
"3","a","beautiful","night"
"2","a","beautiful","scent"
"4","a","beautiful","thing"
"2","a","beautiful","unk"
"3","a","beautiful","weekend"
"3","a","beautiful","woman"
"6","a","bed","of"
"2","a","bed","time"
"4","a","beer","and"
"3","a","beer","or"
"2","a","belated","happy"
"2","a","bench","warrant"
"2","a","benefit","and"
"2","a","benjamin","moore"
"2","a","berth","in"
"4","a","best","friend"
"2","a","better","bet"
"4","a","better","chance"
"2","a","better","day"
"2","a","better","description"
"2","a","better","idea"
"9","a","better","job"
"4","a","better","life"
"2","a","better","one"
"6","a","better","person"
"6","a","better","place"
"3","a","better","time"
"2","a","better","way"
"4","a","big","ass"
"2","a","big","chunk"
"2","a","big","city"
"2","a","big","coffee"
"7","a","big","deal"
"2","a","big","factor"
"8","a","big","fan"
"2","a","big","girl"
"3","a","big","hit"
"3","a","big","house"
"2","a","big","increase"
"2","a","big","mac"
"5","a","big","part"
"2","a","big","plus"
"2","a","big","secret"
"2","a","big","step"
"3","a","big","surprise"
"3","a","big","thank"
"3","a","big","thanks"
"2","a","big","thing"
"6","a","big","unk"
"2","a","bigger","dose"
"2","a","bigger","than"
"2","a","bike","and"
"2","a","bike","ride"
"6","a","bill","that"
"3","a","bill","to"
"2","a","billion","dollars"
"2","a","biography","of"
"4","a","birthday","card"
"2","a","birthday","gift"
"3","a","bit","about"
"3","a","bit","after"
"6","a","bit","and"
"2","a","bit","better"
"3","a","bit","but"
"2","a","bit","harsh"
"3","a","bit","i"
"2","a","bit","in"
"3","a","bit","less"
"7","a","bit","like"
"2","a","bit","longer"
"28","a","bit","more"
"2","a","bit","now"
"90","a","bit","of"
"2","a","bit","over"
"2","a","bit","overweight"
"2","a","bit","the"
"3","a","bit","to"
"11","a","bit","too"
"3","a","bit","tricky"
"9","a","bit","unk"
"2","a","bit","with"
"4","a","bitch","to"
"3","a","black","eye"
"2","a","black","suv"
"2","a","black","tailed"
"2","a","black","turtleneck"
"2","a","black","unk"
"2","a","blank","i"
"3","a","blend","of"
"2","a","blessed","day"
"3","a","blessing","to"
"2","a","blind","eye"
"2","a","blip","on"
"2","a","block","of"
"2","a","block","unk"
"2","a","blog","about"
"3","a","blog","post"
"2","a","board","member"
"2","a","board","of"
"2","a","boat","and"
"2","a","boat","with"
"3","a","boil","and"
"2","a","boil","over"
"2","a","bona","unk"
"2","a","bonus","to"
"7","a","book","about"
"5","a","book","and"
"2","a","book","called"
"2","a","book","for"
"4","a","book","i"
"2","a","book","is"
"12","a","book","that"
"3","a","book","to"
"2","a","book","unk"
"2","a","book","which"
"2","a","book","with"
"4","a","book","you"
"4","a","boost","from"
"2","a","boost","in"
"2","a","boost","to"
"11","a","bottle","of"
"2","a","bouquet","of"
"2","a","bowl","and"
"5","a","bowl","of"
"2","a","box","unk"
"2","a","boy","in"
"2","a","branch","of"
"9","a","brand","new"
"2","a","brand","that"
"2","a","break","and"
"4","a","break","for"
"8","a","break","from"
"3","a","break","in"
"2","a","breath","of"
"2","a","brewer","fan"
"2","a","bridge","is"
"2","a","brief","unk"
"2","a","bright","future"
"2","a","british","national"
"3","a","budget","of"
"49","a","bunch","of"
"2","a","bundle","of"
"2","a","bunk","bed"
"2","a","burden","to"
"2","a","burst","of"
"2","a","business","class"
"2","a","business","owner"
"2","a","business","they"
"2","a","businessman","to"
"2","a","busy","week"
"2","a","butterfly","this"
"2","a","by","election"
"2","a","by","product"
"2","a","cab","and"
"2","a","call","and"
"2","a","call","at"
"6","a","call","from"
"2","a","call","her"
"8","a","call","to"
"2","a","can","i"
