"freq","word1","word2","word3","word4","word5"
"2","a","big","part","of","my"
"2","a","big","part","of","the"
"2","a","big","plus","for","the"
"3","a","big","thank","you","to"
"2","a","bill","that","will","allow"
"3","a","bit","of","a","mess"
"4","a","bit","of","a","unk"
"2","a","book","and","go","to"
"2","a","breath","of","fresh","air"
"2","a","call","her","and","tell"
"2","a","case","in","which","he"
"2","a","case","of","the","mondays"
"2","a","certified","public","accountant","and"
"2","a","chance","to","play","in"
"3","a","chance","to","win","a"
"2","a","chance","to","win","free"
"3","a","close","look","at","the"
"2","a","closer","look","at","the"
"3","a","combination","of","unk","and"
"2","a","copy","of","this","book"
"3","a","couple","of","days","after"
"2","a","couple","of","days","later"
"3","a","couple","of","months","ago"
"8","a","couple","of","weeks","ago"
"4","a","couple","of","years","ago"
"2","a","couple","of","years","i"
"2","a","day","in","the","life"
"2","a","day","that","goes","by"
"2","a","deal","of","the","day"
"2","a","degree","oven","for","minutes"
"2","a","description","of","your","look"
"2","a","difference","a","year","makes"
"2","a","difference","in","the","world"
"2","a","dream","that","i","was"
"2","a","feeble","attempt","to","undermine"
"2","a","few","days","after","the"
"2","a","few","days","early","and"
"2","a","few","drops","of","water"
"2","a","few","hours","later","i"
"2","a","few","minutes","before","the"
"2","a","few","months","ago","i"
"2","a","few","more","drops","of"
"2","a","few","of","my","favorites"
"2","a","few","seconds","to","realize"
"2","a","few","weeks","ago","and"
"3","a","few","years","ago","i"
"3","a","few","years","ago","the"
"2","a","few","years","back","i"
"2","a","few","years","back","my"
"2","a","first","round","pick","of"
"2","a","former","federal","prosecutor","and"
"2","a","funny","thing","happened","on"
"2","a","gay","and","lesbian","center"
"2","a","good","night's","sleep","and"
"2","a","good","source","for","them"
"2","a","good","time","to","be"
"2","a","gospel","contrary","to","the"
"2","a","great","deal","more","information"
"2","a","great","place","to","start"
"2","a","great","time","at","the"
"2","a","great","way","to","keep"
"2","a","great","way","to","spend"
"2","a","great","weekend","can't","wait"
"2","a","gunshot","wound","to","the"
"2","a","guy","that","was","about"
"2","a","heart","attack","should","they"
"2","a","home","with","pool","built"
"2","a","house","in","the","block"
"2","a","huge","fan","of","the"
"2","a","i","hate","myself","for"
"2","a","inch","tail","at","the"
"2","a","lack","of","unk","on"
"4","a","little","bit","of","a"
"3","a","little","goes","a","long"
"3","a","little","more","about","the"
"2","a","little","more","than","a"
"2","a","little","over","an","hour"
"2","a","little","unk","and","unk"
"2","a","long","time","and","finally"
"2","a","long","time","unk","said"
"2","a","long","way","from","the"
"6","a","long","way","to","go"
"2","a","look","at","some","of"
"3","a","look","at","the","unk"
"2","a","lot","more","than","i"
"2","a","lot","of","anger","in"
"2","a","lot","of","fun","but"
"3","a","lot","of","hard","work"
"2","a","lot","of","money","or"
"3","a","lot","of","other","unk"
"2","a","lot","of","people","think"
"3","a","lot","of","people","who"
"2","a","lot","of","talk","about"
"2","a","lot","of","the","people"
