"freq","word1","word2","word3","word4"
"2","a","back","seat","to"
"2","a","back","to","back"
"2","a","bag","of","unk"
"2","a","ball","out","of"
"2","a","band","he","said"
"2","a","beautiful","day","but"
"4","a","beautiful","day","in"
"2","a","berth","in","the"
"3","a","better","chance","of"
"2","a","better","idea","of"
"2","a","better","job","of"
"2","a","better","person","and"
"2","a","big","chunk","of"
"3","a","big","fan","of"
"2","a","big","hit","in"
"5","a","big","part","of"
"2","a","big","plus","for"
"3","a","big","thank","you"
"3","a","big","thanks","to"
"2","a","bigger","dose","of"
"2","a","bill","that","will"
"3","a","bill","that","would"
"2","a","bit","more","into"
"2","a","bit","more","on"
"37","a","bit","of","a"
"3","a","bit","of","an"
"2","a","bit","of","extra"
"2","a","bit","of","pressure"
"2","a","bit","of","the"
"2","a","bit","of","time"
"3","a","bit","of","unk"
"2","a","bit","too","much"
"2","a","bit","tricky","especially"
"2","a","bit","unk","but"
"2","a","black","tailed","gull"
"2","a","book","about","the"
"2","a","book","and","go"
"2","a","book","that","good"
"4","a","book","that","is"
"2","a","boost","from","the"
"2","a","bottle","of","wine"
"2","a","branch","of","the"
"2","a","brand","new","blog"
"2","a","break","for","a"
"4","a","break","from","the"
"3","a","break","in","the"
"2","a","breath","of","fresh"
"2","a","bunch","of","different"
"2","a","bunch","of","guys"
"3","a","bunch","of","people"
"2","a","bunch","of","stuff"
"5","a","bunch","of","unk"
"2","a","business","they","are"
"2","a","by","product","of"
"2","a","call","her","and"
"2","a","call","to","the"
"2","a","career","as","a"
"2","a","case","in","which"
"3","a","case","of","the"
"2","a","cast","iron","pan"
"2","a","cease","and","desist"
"4","a","certain","type","of"
"2","a","certified","public","accountant"
"3","a","challenge","for","me"
"2","a","chance","to","do"
"2","a","chance","to","make"
"3","a","chance","to","meet"
"4","a","chance","to","play"
"2","a","chance","to","see"
"2","a","chance","to","share"
"10","a","chance","to","win"
"2","a","child","in","the"
"2","a","clash","of","kings"
"4","a","close","look","at"
"3","a","closer","look","at"
"3","a","combination","of","unk"
"2","a","comment","on","a"
"3","a","comment","on","my"
"2","a","complaint","rate","for"
"3","a","complaint","with","the"
"2","a","completely","different","person"
"2","a","conscious","effort","to"
"6","a","copy","of","the"
"3","a","copy","of","this"
"2","a","copy","of","your"
"2","a","coral","lip","in"
"2","a","couple","of","articles"
"7","a","couple","of","days"
"2","a","couple","of","emails"
"3","a","couple","of","hours"
"2","a","couple","of","minutes"
"5","a","couple","of","months"
"4","a","couple","of","my"
"2","a","couple","of","other"
"4","a","couple","of","the"
"3","a","couple","of","things"
"6","a","couple","of","unk"
"11","a","couple","of","weeks"
"8","a","couple","of","years"
"2","a","couple","times","a"
"2","a","court","of","law"
"3","a","crack","in","the"
"2","a","crown","that","will"
"5","a","cup","of","coffee"
"2","a","dance","with","dragons"
"2","a","date","and","time"
"2","a","daughter","in","law"
"2","a","day's","worth","of"
"2","a","day","after","the"
"2","a","day","and","not"
"2","a","day","before","the"
"3","a","day","in","the"
"2","a","day","like","today"
"2","a","day","of","work"
"5","a","day","or","two"
"2","a","day","that","goes"
"2","a","day","when","the"
"2","a","deal","of","the"
"3","a","decade","or","more"
"3","a","deep","breath","and"
"2","a","deeper","look","at"
"2","a","deeper","sense","of"
"2","a","degree","oven","for"
"2","a","description","of","your"
"2","a","desire","to","seek"
"2","a","difference","a","year"
"5","a","difference","in","the"
"2","a","difference","it","does"
"2","a","different","approach","to"
"4","a","different","kind","of"
"2","a","different","plan","for"
"2","a","dime","a","dozen"
"2","a","direct","link","to"
"2","a","donation","to","the"
"4","a","dozen","or","so"
"4","a","dream","come","true"
"3","a","dream","last","night"
"2","a","dream","that","i"
"3","a","fair","amount","of"
"2","a","family","of","four"
"2","a","family","of","three"
"3","a","fan","of","her"
"3","a","fan","of","the"
"2","a","far","cry","from"
"2","a","favorite","of","the"
"2","a","federal","appeals","court"
"2","a","federal","grand","jury"
"2","a","feeble","attempt","to"
"2","a","feel","for","the"
"2","a","few","books","on"
"3","a","few","days","after"
"6","a","few","days","ago"
"2","a","few","days","early"
"3","a","few","days","later"
"2","a","few","days","of"
"2","a","few","days","so"
"2","a","few","drops","of"
"2","a","few","feet","away"
"2","a","few","feet","from"
"2","a","few","hours","ago"
"4","a","few","hours","before"
"3","a","few","hours","later"
"3","a","few","in","the"
"2","a","few","minutes","ago"
"2","a","few","minutes","before"
"2","a","few","minutes","later"
"4","a","few","months","ago"
"4","a","few","months","later"
"2","a","few","months","now"
"2","a","few","more","days"
"2","a","few","more","drops"
"2","a","few","more","minutes"
"2","a","few","more","years"
"8","a","few","of","my"
"12","a","few","of","the"
"2","a","few","of","those"
"2","a","few","photos","of"
"4","a","few","pieces","of"
"4","a","few","seconds","to"
"2","a","few","short","days"
"2","a","few","that","i"
"2","a","few","things","about"
"2","a","few","things","i"
"2","a","few","things","including"
"2","a","few","things","like"
"4","a","few","things","that"
"2","a","few","times","and"
"2","a","few","times","to"
"2","a","few","unk","of"
"2","a","few","unk","unk"
"2","a","few","weeks","after"
"8","a","few","weeks","ago"
"2","a","few","weeks","before"
"3","a","few","weeks","later"
"2","a","few","weeks","we"
"17","a","few","years","ago"
"2","a","few","years","and"
"9","a","few","years","back"
"2","a","few","years","in"
